tradingday,stockcode,stockweight
2014-10-22 00:00:00,002614,0.8
2014-10-23 00:00:00,600103,0.8
2014-10-24 00:00:00,600482,0.8
2014-10-27 00:00:00,600289,0.8
2014-10-28 00:00:00,600109,0.8
2014-10-29 00:00:00,600722,0.8
2014-10-30 00:00:00,600346,0.8
2014-10-31 00:00:00,002094,0.8
2014-11-03 00:00:00,002627,0.8
2014-11-04 00:00:00,002190,0.8
2014-11-05 00:00:00,600773,0.8
2014-11-06 00:00:00,002674,0.8
2014-11-07 00:00:00,002653,0.8
2014-11-10 00:00:00,600449,0.8
2014-11-11 00:00:00,002250,0.8
2014-11-12 00:00:00,002092,0.8
2014-11-13 00:00:00,600882,0.8
2014-11-14 00:00:00,000617,0.8
2014-11-17 00:00:00,600020,0.8
2014-11-18 00:00:00,600106,0.8
2014-11-19 00:00:00,600641,0.8
2014-11-20 00:00:00,300197,0.8
2014-11-21 00:00:00,300098,0.8
2014-11-24 00:00:00,600528,0.8
2014-11-25 00:00:00,002396,0.8
2014-11-26 00:00:00,600027,0.8
2014-11-27 00:00:00,300271,0.8
2014-11-28 00:00:00,300355,0.8
2014-12-01 00:00:00,600685,0.8
2014-12-02 00:00:00,300303,0.8
2014-12-03 00:00:00,002184,0.8
2014-12-04 00:00:00,002312,0.8
2014-12-05 00:00:00,601225,0.8
2014-12-08 00:00:00,600257,0.8
2014-12-09 00:00:00,300016,0.8
2014-12-10 00:00:00,002093,0.8
2014-12-11 00:00:00,600307,0.8
2014-12-12 00:00:00,603126,0.8
2014-12-15 00:00:00,000761,0.8
2014-12-16 00:00:00,300254,0.8
2014-12-17 00:00:00,300309,0.8
2014-12-18 00:00:00,600022,0.8
2014-12-19 00:00:00,601390,0.8
2014-12-22 00:00:00,000042,0.8
2014-12-23 00:00:00,300112,0.8
2014-12-24 00:00:00,601003,0.8
2014-12-25 00:00:00,002208,0.8
2014-12-26 00:00:00,300169,0.8
2014-12-29 00:00:00,002612,0.8
2014-12-30 00:00:00,002432,0.8
2014-12-31 00:00:00,601800,0.8
2015-01-05 00:00:00,601238,0.8
2015-01-06 00:00:00,000043,0.8
2015-01-07 00:00:00,000930,0.8
2015-01-08 00:00:00,300098,0.8
2015-01-09 00:00:00,002333,0.8
2015-01-12 00:00:00,600456,0.8
2015-01-13 00:00:00,002375,0.8
2015-01-14 00:00:00,002109,0.8
2015-01-15 00:00:00,000962,0.8
2015-01-16 00:00:00,600804,0.8
2015-01-19 00:00:00,000652,0.8
2015-01-20 00:00:00,002070,0.8
2015-01-21 00:00:00,600499,0.8
2015-01-22 00:00:00,600487,0.8
2015-01-23 00:00:00,300015,0.8
2015-01-26 00:00:00,002413,0.8
2015-01-27 00:00:00,600628,0.8
2015-01-28 00:00:00,002608,0.8
2015-01-29 00:00:00,002483,0.8
2015-01-30 00:00:00,600310,0.8
2015-02-02 00:00:00,600831,0.8
2015-02-03 00:00:00,000014,0.8
2015-02-04 00:00:00,000876,0.8
2015-02-05 00:00:00,002721,0.8
2015-02-06 00:00:00,300094,0.8
2015-02-09 00:00:00,600997,0.8
2015-02-10 00:00:00,000869,0.8
2015-02-11 00:00:00,603993,0.8
2015-02-12 00:00:00,000511,0.8
2015-02-13 00:00:00,603099,0.8
2015-02-16 00:00:00,002561,0.8
2015-02-17 00:00:00,600439,0.8
2015-02-25 00:00:00,600078,0.8
2015-02-26 00:00:00,600132,0.8
2015-02-27 00:00:00,601179,0.8
2015-03-02 00:00:00,002263,0.8
2015-03-03 00:00:00,000793,0.8
2015-03-04 00:00:00,600874,0.8
2015-03-05 00:00:00,002458,0.8
2015-03-06 00:00:00,002084,0.8
2015-03-09 00:00:00,300237,0.8
2015-03-10 00:00:00,600863,0.8
2015-03-11 00:00:00,000609,0.8
2015-03-12 00:00:00,600163,0.8
2015-03-13 00:00:00,600321,0.8
2015-03-16 00:00:00,002216,0.8
2015-03-17 00:00:00,300330,0.8
2015-03-18 00:00:00,002586,0.8
2015-03-19 00:00:00,600595,0.8
2015-03-20 00:00:00,601989,0.8
2015-03-23 00:00:00,000895,0.8
2015-03-24 00:00:00,600128,0.8
2015-03-25 00:00:00,600802,0.8
2015-03-26 00:00:00,002176,0.8
2015-03-27 00:00:00,000025,0.8
2015-03-30 00:00:00,300355,0.8
2015-03-31 00:00:00,000679,0.8
